Name,Lenght,Peregib,Leaf_and_Root,line_kust,line_kust_value,max_kust,width_rectangle,height_rectangle,bio_mass,Path
453-4-1,1081.193000900066,8,39,8.0,18.5,40,528,941,92739,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/453-4-1.jpg
454-26-4,1358.567675943151,5,39,7.0,15.5,54,720,1146,117758,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/454-26-4.jpg
454-19,1438.1656556895978,9,44,11.0,19.5,121,1159,582,91148,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/454-19.jpg
449-1-3,1380.9129137347136,12,37,5.0,17.5,59,938,1078,87804,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/449-1-3.jpg
991-3-4,1222.4701294725908,3,15,3.0,10.0,36,523,1148,50784,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/991-3-4.jpg
454-21-2,1277.8347032479107,1,5,1.0,6.5,15,735,1079,18681,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/454-21-2.jpg
453-2-4,1487.8641404994332,10,39,3.0,19.0,40,922,1046,78375,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/453-2-4.jpg
452-2-3,1339.5239533417534,2,14,3.0,9.0,20,412,1233,64115,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/452-2-3.jpg
451-6-1,789.671139599367,9,24,9.0,26.0,82,861,552,91700,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/451-6-1.jpg
449-1,907.2489168102834,9,52,8.0,18.5,52,782,756,93061,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/449-1.jpg
991-4-2,1248.4112549695446,8,30,6.0,20.0,55,899,1020,100422,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/991-4-2.jpg
452-2-1,1313.771644662755,3,20,3.0,10.0,23,377,1237,61818,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/3/2020_10_19/452-2-1.jpg
