Name,Lenght,Peregib,Leaf_and_Root,line_kust,line_kust_value,max_kust,width_rectangle,height_rectangle,bio_mass,Path
IMG_8319,1096.8254685319184,2,6,3.0,8.5,28,519,801,40563,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8319.JPG
IMG_8346,1168.8864350760186,5,10,5.0,12.0,38,720,637,38280,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8346.JPG
IMG_8345,933.4945160902306,3,17,3.0,12.0,42,512,755,45812,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8345.JPG
IMG_8334,1294.3666658163747,4,19,5.0,13.5,87,812,653,40995,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8334.JPG
IMG_8322,1108.9158723275414,3,14,5.0,15.5,95,641,664,46825,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8322.JPG
IMG_8340,763.7005768508894,5,10,4.0,10.0,66,336,666,33616,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8340.JPG
IMG_8331,1523.9129137347134,3,7,3.0,9.0,87,820,626,34512,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8331.JPG
IMG_8342,2144.971788237755,3,17,4.0,16.0,39,1028,1002,63770,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8342.JPG
IMG_8336,1902.8275605729734,2,9,3.0,16.0,42,737,1175,50933,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8336.JPG
IMG_8344,1627.9595949289385,5,10,4.0,8.0,39,891,927,40013,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8344.JPG
IMG_8347,1998.1921343482932,6,12,6.0,13.0,41,990,882,69626,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8347.JPG
IMG_8332,1485.0529573173892,5,14,4.0,11.5,46,918,842,45872,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8332.JPG
IMG_8326,1029.4823227814109,3,9,3.0,9.5,28,630,764,28859,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8326.JPG
IMG_8327,1560.7758287448653,3,8,3.0,10.0,38,716,1082,46473,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8327.JPG
IMG_8320,1546.5554826343312,3,12,3.0,8.5,67,466,797,31300,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8320.JPG
IMG_8348,1451.3443712397898,6,17,4.0,15.0,37,988,852,52425,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8348.JPG
IMG_8321,1495.5067093990508,2,7,4.0,9.5,22,738,897,52431,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8321.JPG
IMG_8328,1171.702668891945,2,6,2.0,10.0,40,876,1001,35896,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8328.JPG
IMG_8329,1177.6437943888996,2,30,4.0,8.5,25,814,881,46628,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8329.JPG
IMG_8341,1278.195092941121,4,12,5.0,13.5,51,797,670,47758,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8341.JPG
IMG_8323,1469.3199846221496,7,14,4.0,14.5,43,742,848,51814,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8323.JPG
IMG_8338,1814.7240969167572,3,10,3.0,10.5,61,533,905,44539,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8338.JPG
IMG_8335,1149.9898987322347,4,9,2.0,8.5,24,383,864,27886,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8335.JPG
IMG_8339,861.168614282426,4,13,4.0,10.0,27,464,627,38264,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8339.JPG
IMG_8324,1288.7909806465132,4,18,4.0,9.0,27,554,880,49737,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8324.JPG
IMG_8337,877.0559159102177,2,7,3.0,6.5,14,333,687,28186,/home/jupyter-fly_cv/Igor/Plants/data/Новый признак/2022_03_11 Wheat/L-25/IMG_8337.JPG
